date,action,price,shares,value
2025-01-01,BUY,23742.9,4,94971.6
2025-02-03,SELL,23361.05,4,93444.2
2025-02-11,BUY,23071.8,4,92287.2
2025-03-18,SELL,22834.3,4,91337.2
2025-04-07,BUY,22161.6,4,88646.4
2025-04-16,SELL,23437.2,4,93748.8
2025-06-12,BUY,24888.2,4,99552.8
2025-06-13,SELL,24718.6,4,98874.4
2025-06-16,BUY,24946.5,4,99786.0
2025-06-17,SELL,24853.4,4,99413.6
2025-06-18,BUY,24812.05,4,99248.2
2025-06-19,SELL,24793.25,4,99173.0
2025-07-14,BUY,25082.3,4,100329.2
2025-07-15,SELL,25195.8,4,100783.2
2025-07-16,BUY,25212.05,4,100848.2
2025-07-23,SELL,25219.9,4,100879.6
2025-07-24,BUY,25062.1,4,100248.4
2025-08-18,SELL,24876.95,4,99507.8
2025-08-26,BUY,24712.05,4,98848.2
2025-09-03,SELL,24715.05,4,98860.2
2025-09-04,BUY,24734.3,4,98937.2
2025-09-05,SELL,24741.0,4,98964.0
2025-09-08,BUY,24773.15,4,99092.6
2025-09-09,SELL,24868.6,4,99474.4
2025-09-25,BUY,24890.85,4,99563.4
2025-10-06,SELL,25077.65,4,100310.6
2025-10-08,BUY,25046.15,4,100184.6
2025-10-09,SELL,25181.8,4,100727.2
2025-11-07,BUY,25492.3,4,101969.2
2025-11-11,SELL,25694.95,4,102779.8
2025-12-09,BUY,25839.65,4,103358.6
2025-12-11,SELL,25898.55,4,103594.2
2025-12-12,BUY,26046.95,3,78140.85
2025-12-15,SELL,26027.3,3,78081.9
2025-12-16,BUY,25860.1,4,103440.4
2025-12-17,SELL,25818.55,4,103274.2
